o_occ_mep
o_occ_p
o_other
o_other_me
o_other_p
o_othermep
o_wood_mep
o_wood_p
r_occ
r_occ_me
r_occ_mep
r_occ_p
r_other
r_other_me
r_other_p
r_othermep
r_wood
r_wood_me
r_wood_mep
r_wood_p
o_coal_mep
o_elec_mep
o_none_mep
o_othgas_p
o_othgasmp
r_coal_mep
r_elec_mep
r_none_mep
r_othgas_p
r_othgasme
r_othgasmp
o_gas_mep
o_none_me
o_oil_mep
r_coal_me
r_elec_me
r_gas_mep
r_none_me
r_oil_mep
o_coal_p
o_elec_p
o_none_p
r_coal_p
r_elec_p
r_gas_me
r_none_p
r_oil_me
r_othgas
o_gas_p
o_oil_p
r_gas_p
r_oil_p
o_none
r_coal
r_elec
r_none
r_gas
r_oil
o_solar_mep
r_solar_mep
o_solar_me
r_solar_me
o_solar_p
r_solar_p
o_solar
r_solar
occ_me
